,Duration,Signal Run 0,Background Run 0
0,100.0,0.005740520765327006,0.00563432574872397
1,101.0,0.0057686312110141,0.005635575101784248
2,102.0,0.005589973712365836,0.005741457780177563
3,103.0,0.00568898494838189,0.00571209798148894
4,104.0,0.005636824454993065,0.005578729534149921
5,105.0,0.005636512116690717,0.005599656199124396
6,106.0,0.00556248794348839,0.005614023760245401
7,107.0,0.0055762308278606435,0.005578104857559836
8,108.0,0.005578104857658815,0.005634638087146506
9,109.0,0.005616522466593367,0.005650255001242881
10,110.0,0.005638386146456024,0.005656501766880407
11,111.0,0.0,0.0
12,112.0,0.0,0.0
13,113.0,0.0,0.0
14,114.0,0.0,0.0
15,115.0,0.0,0.0
16,116.0,0.0,0.0
17,117.0,0.0,0.0
18,118.0,0.0,0.0
19,119.0,0.0,0.0
20,120.0,0.0,0.0
21,121.0,0.0,0.0
22,122.0,0.0,0.0
23,123.0,0.0,0.0
24,124.0,0.0,0.0
25,125.0,0.0,0.0
26,126.0,0.0,0.0
27,127.0,0.0,0.0
28,128.0,0.0,0.0
29,129.0,0.0,0.0
30,130.0,0.0,0.0
31,131.0,0.0,0.0
32,132.0,0.0,0.0
33,133.0,0.0,0.0
34,134.0,0.0,0.0
35,135.0,0.0,0.0
36,136.0,0.0,0.0
37,137.0,0.0,0.0
38,138.0,0.0,0.0
39,139.0,0.0,0.0
40,140.0,0.0,0.0
41,141.0,0.0,0.0
42,142.0,0.0,0.0
43,143.0,0.0,0.0
44,144.0,0.0,0.0
45,145.0,0.0,0.0
46,146.0,0.0,0.0
47,147.0,0.0,0.0
48,148.0,0.0,0.0
49,149.0,0.0,0.0
50,150.0,0.0,0.0
51,151.0,0.0,0.0
52,152.0,0.0,0.0
53,153.0,0.0,0.0
54,154.0,0.0,0.0
55,155.0,0.0,0.0
56,156.0,0.0,0.0
57,157.0,0.0,0.0
58,158.0,0.0,0.0
59,159.0,0.0,0.0
60,160.0,0.0,0.0
61,161.0,0.0,0.0
62,162.0,0.0,0.0
63,163.0,0.0,0.0
64,164.0,0.0,0.0
65,165.0,0.0,0.0
66,166.0,0.0,0.0
67,167.0,0.0,0.0
68,168.0,0.0,0.0
69,169.0,0.0,0.0
70,170.0,0.0,0.0
71,171.0,0.0,0.0
72,172.0,0.0,0.0
73,173.0,0.0,0.0
74,174.0,0.0,0.0
75,175.0,0.0,0.0
76,176.0,0.0,0.0
77,177.0,0.0,0.0
78,178.0,0.0,0.0
79,179.0,0.0,0.0
80,180.0,0.0,0.0
81,181.0,0.0,0.0
82,182.0,0.0,0.0
83,183.0,0.0,0.0
84,184.0,0.0,0.0
85,185.0,0.0,0.0
86,186.0,0.0,0.0
87,187.0,0.0,0.0
88,188.0,0.0,0.0
89,189.0,0.0,0.0
90,190.0,0.0,0.0
91,191.0,0.0,0.0
92,192.0,0.0,0.0
93,193.0,0.0,0.0
94,194.0,0.0,0.0
95,195.0,0.0,0.0
96,196.0,0.0,0.0
97,197.0,0.0,0.0
98,198.0,0.0,0.0
99,199.0,0.0,0.0
100,200.0,0.0,0.0
