,Pulse Duration
0,1e-06
1,0.00010099000000000001
2,0.00020098000000000002
3,0.00030097000000000007
4,0.00040096000000000006
5,0.0005009500000000001
6,0.0006009400000000001
7,0.0007009300000000001
8,0.0008009200000000001
9,0.0009009100000000001
10,0.0010009
11,0.00110089
12,0.00120088
13,0.00130087
14,0.00140086
15,0.00150085
16,0.00160084
17,0.0017008300000000002
18,0.00180082
19,0.0019008100000000002
20,0.0020008000000000005
21,0.0021007900000000004
22,0.0022007800000000003
23,0.00230077
24,0.0024007600000000005
25,0.0025007500000000004
26,0.0026007400000000003
27,0.0027007300000000006
28,0.0028007200000000005
29,0.0029007100000000004
30,0.0030007000000000002
31,0.0031006900000000006
32,0.0032006800000000005
33,0.0033006700000000003
34,0.0034006600000000007
35,0.0035006500000000005
36,0.0036006400000000004
37,0.0037006300000000003
38,0.0038006200000000006
39,0.0039006100000000005
40,0.004000600000000001
41,0.00410059
42,0.004200580000000001
43,0.004300570000000001
44,0.00440056
45,0.004500550000000001
46,0.00460054
47,0.0047005300000000005
48,0.004800520000000001
49,0.00490051
50,0.005000500000000001
51,0.005100490000000001
52,0.00520048
53,0.005300470000000001
54,0.005400460000000001
55,0.0055004500000000005
56,0.005600440000000001
57,0.005700430000000001
58,0.005800420000000001
59,0.005900410000000001
60,0.0060004
61,0.006100390000000001
62,0.006200380000000001
63,0.0063003700000000004
64,0.006400360000000001
65,0.006500350000000001
66,0.0066003400000000005
67,0.006700330000000001
68,0.006800320000000001
69,0.006900310000000001
70,0.007000300000000001
71,0.00710029
72,0.007200280000000001
73,0.007300270000000001
74,0.0074002600000000005
75,0.007500250000000001
76,0.007600240000000001
77,0.007700230000000001
78,0.007800220000000001
79,0.00790021
80,0.0080002
81,0.00810019
82,0.00820018
83,0.00830017
84,0.00840016
85,0.00850015
86,0.008600140000000001
87,0.00870013
88,0.00880012
89,0.008900110000000001
90,0.0090001
91,0.00910009
92,0.00920008
93,0.00930007
94,0.00940006
95,0.00950005
96,0.00960004
97,0.00970003
98,0.00980002
99,0.00990001
100,0.01
